product,views,video_url,image1,image2,image3
082,1972,https://www.tiktok.com/@liletti_md/video/7647201280183749908,product-082-1.jpg,product-082-2.jpg,product-082-3.jpg
083,1924,https://www.tiktok.com/@liletti_md/video/7647660511298931989,product-083-1.jpg,product-083-2.jpg,product-083-3.jpg
084,1914,https://www.tiktok.com/@liletti_md/video/7649723281443982613,product-084-1.jpg,product-084-2.jpg,product-084-3.jpg
085,1886,https://www.tiktok.com/@liletti_md/video/7646072847030291732,product-085-1.jpg,product-085-2.jpg,product-085-3.jpg
086,1857,https://www.tiktok.com/@liletti_md/video/7651300558283771157,product-086-1.jpg,product-086-2.jpg,product-086-3.jpg
087,1834,https://www.tiktok.com/@liletti_md/video/7651709097141751061,product-087-1.jpg,product-087-2.jpg,product-087-3.jpg
088,1807,https://www.tiktok.com/@liletti_md/video/7649373181467249941,product-088-1.jpg,product-088-2.jpg,product-088-3.jpg
089,1782,https://www.tiktok.com/@liletti_md/video/7653193082493570324,product-089-1.jpg,product-089-2.jpg,product-089-3.jpg
090,1728,https://www.tiktok.com/@liletti_md/video/7653340212369640725,product-090-1.jpg,product-090-2.jpg,product-090-3.jpg
091,1646,https://www.tiktok.com/@liletti_md/video/7648344110331415828,product-091-1.jpg,product-091-2.jpg,product-091-3.jpg
092,1599,https://www.tiktok.com/@liletti_md/video/7649805826546289940,product-092-1.jpg,product-092-2.jpg,product-092-3.jpg
093,1596,https://www.tiktok.com/@liletti_md/video/7650471705583832341,product-093-1.jpg,product-093-2.jpg,product-093-3.jpg
094,1552,https://www.tiktok.com/@liletti_md/video/7653435878706138389,product-094-1.jpg,product-094-2.jpg,product-094-3.jpg
095,1530,https://www.tiktok.com/@liletti_md/video/7653863932494417173,product-095-1.jpg,product-095-2.jpg,product-095-3.jpg
096,1520,https://www.tiktok.com/@liletti_md/video/7650184039034342676,product-096-1.jpg,product-096-2.jpg,product-096-3.jpg
097,1463,https://www.tiktok.com/@liletti_md/video/7653165768414170388,product-097-1.jpg,product-097-2.jpg,product-097-3.jpg
098,1425,https://www.tiktok.com/@liletti_md/video/7653425436877180180,product-098-1.jpg,product-098-2.jpg,product-098-3.jpg
099,1423,https://www.tiktok.com/@liletti_md/video/7652339731866340628,product-099-1.jpg,product-099-2.jpg,product-099-3.jpg
100,1255,https://www.tiktok.com/@liletti_md/video/7653554668580162836,product-100-1.jpg,product-100-2.jpg,product-100-3.jpg
101,1182,https://www.tiktok.com/@liletti_md/video/7649852483002584340,product-101-1.jpg,product-101-2.jpg,product-101-3.jpg
102,1113,https://www.tiktok.com/@liletti_md/video/7653830715712507156,product-102-1.jpg,product-102-2.jpg,product-102-3.jpg
103,1014,https://www.tiktok.com/@liletti_md/video/7653100767271800084,product-103-1.jpg,product-103-2.jpg,product-103-3.jpg
104,941,https://www.tiktok.com/@liletti_md/video/7653547148050435348,product-104-1.jpg,product-104-2.jpg,product-104-3.jpg
105,929,https://www.tiktok.com/@liletti_md/video/7653100429873827093,product-105-1.jpg,product-105-2.jpg,product-105-3.jpg
106,800,https://www.tiktok.com/@liletti_md/video/7654158850391624980,product-106-1.jpg,product-106-2.jpg,product-106-3.jpg
107,766,https://www.tiktok.com/@liletti_md/video/7653076946078780693,product-107-1.jpg,product-107-2.jpg,product-107-3.jpg
108,746,https://www.tiktok.com/@liletti_md/video/7653089380621470997,product-108-1.jpg,product-108-2.jpg,product-108-3.jpg
109,717,https://www.tiktok.com/@liletti_md/video/7654288343357934868,product-109-1.jpg,product-109-2.jpg,product-109-3.jpg
110,703,https://www.tiktok.com/@liletti_md/video/7653094946152533269,product-110-1.jpg,product-110-2.jpg,product-110-3.jpg
111,617,https://www.tiktok.com/@liletti_md/video/7653081855700241685,product-111-1.jpg,product-111-2.jpg,product-111-3.jpg
112,572,https://www.tiktok.com/@liletti_md/video/7654258439564070165,product-112-1.jpg,product-112-2.jpg,product-112-3.jpg
113,532,https://www.tiktok.com/@liletti_md/video/7654275548193066260,product-113-1.jpg,product-113-2.jpg,product-113-3.jpg
